city,issue_date,target_date,lead_days,source,precip_mm,temp_max_c,temp_min_c,wind_speed_kmh,wind_dir_deg,pressure_hpa
Warszawa,2026-09-07,2026-08-30,-8,archiwum_openmeteo,0.0,25.3,13.8,12.1,182,1001.6
Warszawa,2026-09-07,2026-08-31,-7,archiwum_openmeteo,2.4,25.9,16.0,11.5,199,1000.4
Warszawa,2026-09-07,2026-09-01,-6,archiwum_openmeteo,3.2,19.9,15.4,20.7,259,1001.9
Warszawa,2026-09-07,2026-09-02,-5,archiwum_openmeteo,0.4,21.2,13.6,14.4,262,1005.2
Warszawa,2026-09-07,2026-09-03,-4,archiwum_openmeteo,7.0,21.9,12.1,12.3,236,1003.5
Warszawa,2026-09-07,2026-09-04,-3,archiwum_openmeteo,2.4,22.1,15.7,24.8,242,995.8
Warszawa,2026-09-07,2026-09-05,-2,archiwum_openmeteo,2.5,19.7,13.1,25.6,271,997.9
Warszawa,2026-09-07,2026-09-07,0,prognoza,0.0,20.0,10.9,11.2,233,1010.9
Warszawa,2026-09-07,2026-09-08,1,prognoza,0.0,26.1,14.9,10.8,165,1001.1
Warszawa,2026-09-07,2026-09-09,2,prognoza,0.0,28.7,18.5,15.5,177,994.0
Warszawa,2026-09-07,2026-09-10,3,prognoza,2.0,19.5,11.9,21.4,268,998.1
Warszawa,2026-09-07,2026-09-11,4,prognoza,0.0,18.5,11.8,8.9,263,1007.5
Warszawa,2026-09-07,2026-09-12,5,prognoza,0.0,19.1,11.9,7.1,301,1009.2
Warszawa,2026-09-07,2026-09-13,6,prognoza,0.0,19.4,10.9,5.0,145,1009.0
Gdansk,2026-09-07,2026-09-07,0,prognoza,0.0,19.2,11.3,14.6,211,1020.2
Gdansk,2026-09-07,2026-09-08,1,prognoza,0.0,25.0,11.5,19.5,186,1009.6
Gdansk,2026-09-07,2026-09-09,2,prognoza,0.2,22.9,15.0,13.1,230,1003.9
Gdansk,2026-09-07,2026-09-10,3,prognoza,0.0,17.6,12.5,16.6,260,1011.5
Gdansk,2026-09-07,2026-09-11,4,prognoza,0.0,18.3,11.8,8.5,289,1017.9
Gdansk,2026-09-07,2026-09-12,5,prognoza,0.0,19.9,11.4,12.3,254,1019.0
Gdansk,2026-09-07,2026-09-13,6,prognoza,2.2,20.3,11.3,15.6,211,1013.0
Gdansk,2026-09-07,2026-08-28,-10,archiwum_openmeteo,0.2,23.0,13.5,27.4,150,1015.7
Gdansk,2026-09-07,2026-08-29,-9,archiwum_openmeteo,28.1,22.6,14.9,16.4,201,1008.6
Gdansk,2026-09-07,2026-08-30,-8,archiwum_openmeteo,0.5,24.0,15.6,20.4,200,1009.1
Gdansk,2026-09-07,2026-08-31,-7,archiwum_openmeteo,0.9,23.6,15.6,12.9,215,1009.5
Gdansk,2026-09-07,2026-09-01,-6,archiwum_openmeteo,3.5,20.5,14.7,18.1,262,1010.3
Gdansk,2026-09-07,2026-09-02,-5,archiwum_openmeteo,1.1,20.1,14.4,18.4,261,1014.6
Gdansk,2026-09-07,2026-09-03,-4,archiwum_openmeteo,3.9,21.8,13.9,21.5,221,1011.9
Gdansk,2026-09-07,2026-09-04,-3,archiwum_openmeteo,20.1,19.9,15.4,26.1,247,1002.3
Gdansk,2026-09-07,2026-09-05,-2,archiwum_openmeteo,4.1,17.7,12.7,32.1,262,1005.2
Warszawa,2026-09-08,2026-09-08,0,prognoza,0.0,27.0,14.3,11.5,169,1000.9
Warszawa,2026-09-08,2026-09-09,1,prognoza,0.1,28.7,16.8,16.9,247,994.4
Warszawa,2026-09-08,2026-09-10,2,prognoza,2.2,18.4,11.5,20.2,264,1001.2
Warszawa,2026-09-08,2026-09-11,3,prognoza,0.0,18.1,9.1,8.3,278,1007.0
Warszawa,2026-09-08,2026-09-12,4,prognoza,0.0,17.8,10.9,4.0,202,1010.3
Warszawa,2026-09-08,2026-09-13,5,prognoza,0.0,19.9,9.2,7.5,177,1008.1
Warszawa,2026-09-08,2026-09-14,6,prognoza,0.6,19.7,12.0,7.2,242,1004.5
Warszawa,2026-09-08,2026-08-29,-10,archiwum_openmeteo,5.2,21.9,15.7,16.0,206,999.7
Warszawa,2026-09-08,2026-08-30,-9,archiwum_openmeteo,0.0,25.3,13.8,12.1,182,1001.6
Warszawa,2026-09-08,2026-08-31,-8,archiwum_openmeteo,2.4,25.9,16.0,11.5,199,1000.4
Warszawa,2026-09-08,2026-09-01,-7,archiwum_openmeteo,3.2,19.9,15.4,20.7,259,1001.9
Warszawa,2026-09-08,2026-09-02,-6,archiwum_openmeteo,0.4,21.2,13.6,14.4,262,1005.2
Warszawa,2026-09-08,2026-09-03,-5,archiwum_openmeteo,7.0,21.9,12.1,12.3,236,1003.5
Warszawa,2026-09-08,2026-09-04,-4,archiwum_openmeteo,2.4,22.1,15.7,24.8,242,995.8
Warszawa,2026-09-08,2026-09-05,-3,archiwum_openmeteo,2.5,19.7,13.1,25.6,271,997.9
Warszawa,2026-09-08,2026-09-06,-2,archiwum_openmeteo,2.2,18.7,12.0,24.1,282,1006.9
Krakow,2026-09-08,2026-09-08,0,prognoza,0.0,31.1,13.7,12.6,234,989.9
Krakow,2026-09-08,2026-09-09,1,prognoza,0.0,33.3,18.6,17.3,274,983.3
Krakow,2026-09-08,2026-09-10,2,prognoza,3.7,19.9,13.2,18.4,287,990.9
Krakow,2026-09-08,2026-09-11,3,prognoza,0.0,18.4,11.8,9.0,83,994.0
Krakow,2026-09-08,2026-09-12,4,prognoza,0.0,19.9,10.4,7.9,57,996.8
Krakow,2026-09-08,2026-09-13,5,prognoza,0.0,20.5,9.1,6.0,97,995.2
Krakow,2026-09-08,2026-09-14,6,prognoza,0.0,19.8,10.9,10.0,257,993.6
Krakow,2026-09-08,2026-08-29,-10,archiwum_openmeteo,6.8,23.1,15.2,18.4,254,989.1
Krakow,2026-09-08,2026-08-30,-9,archiwum_openmeteo,0.0,26.6,12.2,9.1,190,990.4
Krakow,2026-09-08,2026-08-31,-8,archiwum_openmeteo,1.0,28.7,15.0,8.8,228,989.2
Krakow,2026-09-08,2026-09-01,-7,archiwum_openmeteo,0.3,22.7,15.0,18.4,265,992.5
Krakow,2026-09-08,2026-09-02,-6,archiwum_openmeteo,0.0,23.6,12.5,11.2,256,994.4
Krakow,2026-09-08,2026-09-03,-5,archiwum_openmeteo,2.3,22.0,12.9,9.2,248,992.6
Krakow,2026-09-08,2026-09-04,-4,archiwum_openmeteo,0.1,24.9,16.4,24.7,250,988.0
Krakow,2026-09-08,2026-09-05,-3,archiwum_openmeteo,2.4,21.4,15.0,22.7,270,990.4
Krakow,2026-09-08,2026-09-06,-2,archiwum_openmeteo,0.1,18.2,11.0,23.9,282,998.3
Gdansk,2026-09-08,2026-09-08,0,prognoza,0.0,24.8,11.0,19.1,183,1008.7
Gdansk,2026-09-08,2026-09-09,1,prognoza,1.4,21.3,14.3,9.4,226,1004.0
Gdansk,2026-09-08,2026-09-10,2,prognoza,0.0,17.9,12.4,16.4,269,1011.4
Gdansk,2026-09-08,2026-09-11,3,prognoza,0.0,18.9,12.1,7.4,278,1018.1
Gdansk,2026-09-08,2026-09-12,4,prognoza,0.0,19.8,12.6,6.7,242,1021.0
Gdansk,2026-09-08,2026-09-13,5,prognoza,0.0,22.0,11.1,10.0,220,1021.2
Gdansk,2026-09-08,2026-09-14,6,prognoza,0.0,22.3,13.5,12.6,212,1020.5
Gdansk,2026-09-08,2026-08-29,-10,archiwum_openmeteo,28.1,22.6,14.9,16.4,201,1008.6
Gdansk,2026-09-08,2026-08-30,-9,archiwum_openmeteo,0.5,24.0,15.6,20.4,200,1009.1
Gdansk,2026-09-08,2026-08-31,-8,archiwum_openmeteo,0.9,23.6,15.6,12.9,215,1009.5
Gdansk,2026-09-08,2026-09-01,-7,archiwum_openmeteo,3.5,20.5,14.7,18.1,262,1010.3
Gdansk,2026-09-08,2026-09-02,-6,archiwum_openmeteo,1.1,20.1,14.4,18.4,261,1014.6
Gdansk,2026-09-08,2026-09-03,-5,archiwum_openmeteo,3.9,21.8,13.9,21.5,221,1011.9
Gdansk,2026-09-08,2026-09-04,-4,archiwum_openmeteo,20.1,19.9,15.4,26.1,247,1002.3
Gdansk,2026-09-08,2026-09-05,-3,archiwum_openmeteo,4.1,17.7,12.7,32.1,262,1005.2
Gdansk,2026-09-08,2026-09-06,-2,archiwum_openmeteo,3.1,18.7,12.2,26.2,289,1016.7
